YEAR,BFSNR,GDE_NAME,STF_O_KIRCHE1,STF_O_KIRCHE2,STF_O_KIRCHE3,STF_REF1,STF_REF2,STF_REF3,STF_KATH1,STF_KATH2,STF_KATH3,STF_CKRKATH1,STF_CKRKATH2,STF_CKRKATH3,JUR_PERS
2024,248,Uitikon,80,0,0,90,0,0,90,0,0,94,0,0,90
2024,249,Unterengstringen,100,0,0,111,0,0,113,0,0,114,0,0,112.08
2024,250,Urdorf,115,0,0,125,0,0,126,0,0,129,0,0,125.56
2024,251,Weiningen,103,0,0,114,0,0,112,0,0,117,0,0,112.94
2024,261,Zürich,119,0,0,129,0,0,129,0,0,133,0,0,129.01
2024,291,Andelfingen,114,0,0,126,0,0,128,0,0,128,0,0,126.5
2024,292,Stammheim,114,0,0,128,0,0,128,0,0,128,0,0,128
2024,293,Wädenswil,104,0,0,115,118,0,117,0,0,118,0,0,115.94
2024,294,Elgg,119,0,0,133,0,0,133,0,0,133,0,0,133
2024,295,Horgen,90,0,0,100,0,0,97,0,0,104,0,0,98.5
2024,296,Illnau-Effretikon,110,0,0,123,0,0,123,122,0,124,0,0,123
2024,297,Bauma,120,0,0,134,0,0,133,0,0,134,0,0,133.7
2024,298,Wiesendangen,88,0,0,102,102,0,101,101,0,102,0,0,101.68
2023,1,Aeugst a.A.,95,0,0,107,0,0,108,0,0,109,0,0,107.35
2023,2,Affoltern a.A.,124,0,0,136,0,0,137,0,0,138,0,0,136.5
2023,3,Bonstetten,109,0,0,121,0,0,120,0,0,123,0,0,120.56
2023,4,Hausen a.A.,112,0,0,124,0,0,126,0,0,126,0,0,124.9
2023,5,Hedingen,100,0,0,112,0,0,113,0,0,114,0,0,112.4
2023,6,Kappel a.A.,102,0,0,116,0,0,116,0,0,116,0,0,116
2023,7,Knonau,116,0,0,130,0,0,130,0,0,130,0,0,130
2023,8,Maschwanden,130,0,0,142,0,0,144,0,0,144,0,0,142.72
2023,9,Mettmenstetten,98,0,0,110,0,0,112,0,0,112,0,0,110.86
2023,10,Obfelden,121,0,0,133,0,0,134,0,0,135,0,0,133.48
2023,11,Ottenbach,117,0,0,129,0,0,130,0,0,131,0,0,129.43
2023,12,Rifferswil,122,0,0,134,0,0,136,0,0,136,0,0,134.6
2023,13,Stallikon,101,0,0,112,0,0,112,0,0,115,0,0,112
2023,14,Wettswil a.A.,89,0,0,100,0,0,100,0,0,103,0,0,100
2023,22,Benken,110,0,0,124,0,0,124,0,0,124,0,0,124
2023,23,Berg a.I.,98,0,0,110,0,0,111,0,0,112,0,0,110.14
2023,24,Buch a.I.,106,0,0,118,0,0,119,0,0,120,0,0,118.18
